Date,Time,Treatment,Tank,Temp.C,pH.mV,Sal.psu,Light.PAR,Fed (Y/N)
20190306,10:34,NA,4,8.16,NA,26.58,708,NA
20190306,10:34,NA,5,7.08,NA,27.02,865,NA
20190306,10:34,NA,6,5.59,NA,26.73,693,NA
20190308,8:30,NA,4,5.58,NA,25.93,680,NA
20190308,8:30,NA,5,5.11,NA,26.81,619,NA
20190315,10:30,NA,4,13.8,NA,27.18,145,NA
20190315,10:30,NA,5,14.05,NA,27.1,176,NA
20190315,10:30,NA,6,4.74,NA,26.27,168,NA
20190318,14:30,NA,4,19.35,54.8,27.16,928,NA
20190318,14:30,NA,5,19.45,56.2,27.35,1025,NA
20190318,14:30,NA,6,36.4,66.3,28.71,805,NA
20190319,15:30,NA,4,18.71,71.9,27.5,122,NA
20190319,15:30,NA,5,19.41,54.7,27.63,119,NA
20190319,15:30,NA,6,19.28,67.7,27.87,117,NA
20190320,9:15,NA,4,19.4,NA,27.36,769,NA
20190320,9:15,NA,5,18.49,66.5,27.69,735,NA
20190320,9:15,NA,6,18.96,58.7,27.87,662,NA
20190320,9:15,NA,1,20.35,40.5,30.27,642,NA
20190320,9:15,NA,2,20.58,NA,30.03,712,NA
20190320,9:15,NA,3,20.6,NA,30.05,750,NA
20190321,15:30,NA,4,19.02,60.5,27.64,193,NA
20190321,15:30,NA,5,19.21,58.5,27.77,160,NA
20190321,15:30,NA,6,19.8,60.2,27.97,170,NA
20190321,15:30,NA,1,19.39,NA,30.39,174,NA
20190321,15:30,NA,2,19.64,NA,30.27,175,NA
20190321,15:30,NA,3,19.34,NA,30.41,179,NA
20190322,9:15,NA,4,19.1,NA,27.7,212,NA
20190322,9:15,NA,5,19.5,NA,27.79,195,NA
20190322,9:15,NA,6,19.38,NA,27.99,204,NA
20190322,9:15,NA,1,18.97,NA,30.4,307,NA
20190322,9:15,NA,2,19.46,NA,30.29,310,NA
20190322,9:15,NA,3,19.15,NA,30.47,398,NA
20190325,9:10,NA,1,19.26,NA,30.53,154,NA
20190325,9:10,NA,2,19.65,NA,30.77,147,NA
20190325,9:10,NA,3,19.34,NA,30.84,160,NA
20190326,15:45,NA,1,19.71,NA,29.82,531,NA
20190326,15:45,NA,2,19.23,NA,30.58,861,NA
20190326,15:45,NA,3,19.88,NA,30.83,836,NA
20190327,9:00,NA,1,19.29,NA,30.23,652,NA
20190327,9:00,NA,2,19.44,NA,30.83,602,NA
20190327,9:00,NA,3,19.28,NA,30.78,530,NA
20190328,15:45,NA,1,18.98,NA,28.4,432,NA
20190328,15:45,NA,2,19.37,NA,30.88,952,NA
20190328,15:45,NA,3,19.3,NA,30.86,827,NA
20190328,15:45,NA,6,18.82,NA,28.84,944,NA
20190329,9:15,dark,1,23.14,NA,30.66,165,NA
20190329,9:15,NA,2,19.62,NA,30.95,263,NA
20190329,9:15,NA,3,19.03,NA,30.98,239,NA
20190329,9:15,NA,4,19.71,NA,28.82,180,NA
20190329,9:15,dark,5,18.67,NA,28.65,249,NA
20190329,9:15,NA,6,19.14,NA,28.75,272,NA
20190401,9:10,dark,1,19.45,NA,30.54,17,NA
20190401,9:10,NA,2,19.48,NA,31.13,428,NA
20190401,9:10,NA,3,19.32,NA,31.32,571,NA
20190401,9:10,dark,4,19.7,NA,28.87,3,NA
20190401,9:10,NA,5,18.62,NA,28.75,1118,NA
20190401,9:10,NA,6,19.4,NA,29,935,NA
20190402,15:30,dark,1,18.99,NA,30.47,8,NA
20190402,15:30,,2,19.24,NA,30.2,824,NA
20190402,15:30,,3,18.48,NA,30.28,765,NA
20190402,15:30,,4,18.61,NA,29.16,554,NA
20190402,15:30,,5,19.41,NA,30.2,431,NA
20190402,15:30,dark,6,18.63,NA,28.95,6,NA
20190403,9:35,dark,1,19.52,550.4,30.72,3,NA
20190403,9:35,,2,19.13,562.3,30.32,301,NA
20190403,9:35,,3,19.18,553.7,30.36,269,NA
20190403,9:35,,4,19.23,566.1,29.19,266,NA
20190403,9:35,,5,19.04,543.5,30.28,253,NA
20190403,9:35,dark,6,19.72,515.7,29.05,4,NA
20190404,15:20,dark,1,18.59,-37.7,30.82,7,NA
20190404,15:20,,2,19.52,-49.2,30.6,963,NA
20190404,15:20,,3,19.2,-39,30.47,1106,NA
20190404,15:20,,4,18.77,-50.3,29.22,1356,NA
20190404,15:20,,5,19.11,-41.4,30.35,995,NA
20190404,15:20,dark,6,18.93,-38.5,29.05,5,NA
20190405,13:20,,1,19.66,-42,29.48,4,NA
20190405,13:20,dark,2,19.53,-48.2,30.54,545,NA
20190405,13:20,,3,19.49,-38.7,30.62,487,NA
20190405,13:20,,4,18.65,-51.8,29.4,608,NA
20190405,13:20,,5,18.67,-42.2,30.41,521,NA
20190405,13:20,dark,6,19.07,-39.3,29.21,3,NA
20190408,12:22,dark ,1,19.7,-37.8,29.6,6,NA
20190408,12:22,,2,19.38,-47.2,30.56,305,NA
20190408,12:22,,3,19.66,-35,30.67,330,NA
20190408,12:22,,4,18.83,-51.3,29.43,355,NA
20190408,12:22,,5,19.26,-42.3,30.43,314,NA
20190408,12:22,dark,6,19.88,-36.1,29.12,3,NA
20190409,15:00,dark ,1,18.65,-42.5,29.63,4,NA
20190409,15:00,,2,19.31,-51.8,30.61,1073,NA
20190409,15:00,,3,19.63,-41.5,30.66,923,NA
20190409,15:00,,4,18.69,-57.4,29.02,1051,NA
20190409,15:00,,5,18.92,-55.7,30.3,754,NA
20190409,15:00,dark,6,19.25,-37.7,29.05,5,NA
20190410,13:57,dark,1,18.86,-38.4,29.55,3,NA
20190410,13:57,,2,19.83,-52.3,30.9,567,NA
20190410,13:57,,3,19.54,-50.9,80.7,598,NA
20190410,13:57,,4,19.48,-62.4,29.55,881,NA
