Well,Vial,Run,Sample.Type,Concentration
A1,A,1,Standard,2000
A2,A,1,Standard,2000
A3,B,1,Standard,1500
A4,B,1,Standard,1500
A5,C,1,Standard,1000
A6,C,1,Standard,1000
A7,D,1,Standard,750
A8,D,1,Standard,750
A9,E,1,Standard,500
A10,E,1,Standard,500
A11,F,1,Standard,250
A12,F,1,Standard,250
B1,G,1,Standard,125
B2,G,1,Standard,125
B3,H,1,Standard,25
B4,H,1,Standard,25
B5,I,1,Blank,0
B6,I,1,Blank,0
B7,15-H,1,Sample,
B8,15-H,1,Sample,
B9,21-H,1,Sample,
B10,21-H,1,Sample,
B11,27-H,1,Sample,
B12,27-H,1,Sample,
C1,33-H,1,Sample,
C2,33-H,1,Sample,
C3,39-H,1,Sample,
C4,39-H,1,Sample,
C5,45-H,1,Sample,
C6,45-H,1,Sample,
C7,51-H,1,Sample,
C8,51-H,1,Sample,
C9,57-H,1,Sample,
C10,57-H,1,Sample,
C11,63-H,1,Sample,
C12,63H,1,Sample,
D1,69-H,1,Sample,
D2,69-H,1,Sample,
D3,75-H,1,Sample,
D4,75-H,1,Sample,
D5,81-H,1,Sample,
D6,81-H,1,Sample,
D7,87-H,1,Sample,
D8,87-H,1,Sample,
D9,93-H,1,Sample,
D10,93-H,1,Sample,
D11,99-H,1,Sample,
D12,99-H,1,Sample,
E1,105-H,1,Sample,
E2,105-H,1,Sample,
E3,111-H,1,Sample,
E4,111-H,1,Sample,
E5,117-H,1,Sample,
E6,117-H,1,Sample,
E7,123-H,1,Sample,
E8,123-H,1,Sample,
E9,129-H,1,Sample,
E10,129-H,1,Sample,
E11,135-H,1,Sample,
E12,135-H,1,Sample,
F1,NA,1,NA,
F2,NA,1,NA,
F3,147-H,1,Sample,
F4,147-H,1,Sample,
F5,153-H,1,Sample,
F6,153-H,1,Sample,
F7,NA,1,NA,
F8,NA,1,NA,
F9,NA,1,NA,
F10,NA,1,NA,
F11,NA,1,NA,
F12,NA,1,NA,
G1,NA,1,NA,
G2,NA,1,NA,
G3,NA,1,NA,
G4,NA,1,NA,
G5,NA,1,NA,
G6,NA,1,NA,
G7,NA,1,NA,
G8,NA,1,NA,
G9,NA,1,NA,
G10,NA,1,NA,
G11,NA,1,NA,
G12,NA,1,NA,
H1,NA,1,NA,
H2,NA,1,NA,
H3,NA,1,NA,
H4,NA,1,NA,
H5,NA,1,NA,
H6,NA,1,NA,
H7,NA,1,NA,
H8,NA,1,NA,
H9,NA,1,NA,
H10,NA,1,NA,
H11,NA,1,NA,
H12,NA,1,NA,
A1,NA,2,NA,
A2,NA,2,NA,
A3,15-S,2,Sample,
A4,15-S,2,Sample,
A5,21-S,2,Sample,
A6,21-S,2,Sample,
A7,27-S,2,Sample,
A8,27-S,2,Sample,
A9,33-S,2,Sample,
A10,33-S,2,Sample,
A11,39-S,2,Sample,
A12,39-S,2,Sample,
B1,45-S,2,Sample,
B2,NA,2,NA,
B3,51-S,2,Sample,
B4,51-S,2,Sample,
B5,57-S,2,Sample,
B6,57-S,2,Sample,
B7,63-S,2,Sample,
B8,63-S,2,Sample,
B9,69-S,2,Sample,
B10,69-S,2,Sample,
B11,75-S,2,Sample,
B12,75-S,2,Sample,
C1,81-S,2,Sample,
C2,81-S,2,Sample,
C3,87-S,2,Sample,
C4,87-S,2,Sample,
C5,93-S,2,Sample,
C6,93-S,2,Sample,
C7,99-S,2,Sample,
C8,99-S,2,Sample,
C9,105-S,2,Sample,
C10,105-S,2,Sample,
C11,111-S,2,Sample,
C12,111-S,2,Sample,
D1,117-S,2,Sample,
D2,117-S,2,Sample,
D3,123-S,2,Sample,
D4,123-S,2,Sample,
D5,129-S,2,Sample,
D6,129-S,2,Sample,
D7,135-S,2,Sample,
D8,135-S,2,Sample,
D9,NA,2,NA,
D10,NA,2,NA,
D11,147-S,2,Sample,
D12,147-S,2,Sample,
E1,153-S,2,Sample,
E2,153-S,2,Sample,
E3,NA,2,NA,
E4,NA,2,NA,
E5,NA,2,NA,
E6,NA,2,NA,
E7,NA,2,NA,
E8,NA,2,NA,
E9,NA,2,NA,
E10,NA,2,NA,
E11,NA,2,NA,
E12,NA,2,NA,
F1,NA,2,NA,
F2,NA,2,NA,
F3,NA,2,NA,
F4,NA,2,NA,
F5,NA,2,NA,
F6,NA,2,NA,
F7,NA,2,NA,
F8,NA,2,NA,
F9,NA,2,NA,
F10,NA,2,NA,
F11,NA,2,NA,
F12,NA,2,NA,
G1,NA,2,NA,
G2,NA,2,NA,
G3,NA,2,NA,
G4,NA,2,NA,
G5,NA,2,NA,
G6,NA,2,NA,
G7,NA,2,NA,
G8,NA,2,NA,
G9,NA,2,NA,
G10,NA,2,NA,
G11,NA,2,NA,
G12,NA,2,NA,
H1,NA,2,NA,
H2,NA,2,NA,
H3,NA,2,NA,
H4,NA,2,NA,
H5,NA,2,NA,
H6,NA,2,NA,
H7,NA,2,NA,
H8,NA,2,NA,
H9,NA,2,NA,
H10,NA,2,NA,
H11,NA,2,NA,
H12,NA,2,NA,
A1,A,3,Standard,2000
A2,A,3,Standard,2000
A3,B,3,Standard,1500
A4,B,3,Standard,1500
A5,C,3,Standard,1000
A6,C,3,Standard,1000
A7,D,3,Standard,750
A8,D,3,Standard,750
A9,E,3,Standard,500
A10,E,3,Standard,500
A11,F,3,Standard,250
A12,F,3,Standard,250
B1,G,3,Standard,125
B2,G,3,Standard,125
B3,H,3,Standard,25
B4,H,3,Standard,25
B5,I,3,Blank,0
B6,I,3,Blank,0
B7,159-S,3,Sample,
B8,159-S,3,Sample,
B9,165-S,3,Sample,
B10,165-S,3,Sample,
B11,171-S,3,Sample,
B12,171-S,3,Sample,
C1,177-S,3,Sample,
C2,177-S,3,Sample,
C3,183-S,3,Sample,
C4,183-S,3,Sample,
C5,189-S,3,Sample,
C6,189-S,3,Sample,
C7,195-S,3,Sample,
C8,195-S,3,Sample,
C9,201-S,3,Sample,
C10,201-S,3,Sample,
C11,207-S,3,Sample,
C12,207-S,3,Sample,
D1,213-S,3,Sample,
D2,213-S,3,Sample,
D3,219-S,3,Sample,
D4,219-S,3,Sample,
D5,225-S,3,Sample,
D6,225-S,3,Sample,
D7,231-S,3,Sample,
D8,231-S,3,Sample,
D9,237-S,3,Sample,
D10,237-S,3,Sample,
D11,243-S,3,Sample,
D12,243-S,3,Sample,
E1,249-S,3,Sample,
E2,249-S,3,Sample,
E3,255-S,3,Sample,
E4,255-S,3,Sample,
E5,261-S,3,Sample,
E6,261-S,3,Sample,
E7,267-S,3,Sample,
E8,267-S,3,Sample,
E9,273-S,3,Sample,
E10,273-S,3,Sample,
E11,279-S,3,Sample,
E12,279-S,3,Sample,
F1,285-S,3,Sample,
F2,285-S,3,Sample,
F3,291-S,3,Sample,
F4,291-S,3,Sample,
F5,159-H,3,Sample,
F6,159-H,3,Sample,
F7,165-H,3,Sample,
F8,165-H,3,Sample,
F9,171-H,3,Sample,
F10,171-H,3,Sample,
F11,177-H,3,Sample,
F12,177-H,3,Sample,
G1,183-H,3,Sample,
G2,183-H,3,Sample,
G3,189-H,3,Sample,
G4,189-H,3,Sample,
G5,195-H,3,Sample,
G6,195-H,3,Sample,
G7,201-H,3,Sample,
G8,201-H,3,Sample,
G9,207-H,3,Sample,
G10,207-H,3,Sample,
G11,213-H,3,Sample,
G12,213-H,3,Sample,
H1,219-H,3,Sample,
H2,219-H,3,Sample,
H3,225-H,3,Sample,
